epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.815,1.45466,2.67837,2.14809,1.56364,0.14446,0.22034,0.13342,0.05196,0.13056,0.19137,0.11539,0.03561,2.32757,5.03423,11.62,3.03567,0.0004738,0.0004738,0.0004738
2,335.495,1.77684,3.02367,2.32311,1.79158,0.12645,0.1978,0.05712,0.01738,0.07831,0.10888,0.02184,0.00415,2.67623,7.48582,7.47814,3.89891,0.0009388,0.0009388,0.0009388
3,501.649,1.76961,3.02746,2.29254,1.79582,0.27551,0.23502,0.146,0.05639,0.25726,0.20926,0.13379,0.03963,2.30529,6.25455,4.67909,2.63772,0.00139244,0.00139244,0.00139244
4,669.255,1.67957,2.92778,2.12313,1.70907,0.48268,0.33552,0.34181,0.16852,0.46299,0.3257,0.32524,0.13321,1.86034,3.12468,2.43957,2.16062,0.00137787,0.00137787,0.00137787
5,835.715,1.59348,2.8134,1.99009,1.66749,0.41719,0.42995,0.3998,0.19449,0.55491,0.36356,0.40031,0.15487,1.72043,2.91497,2.85536,1.96212,0.00136082,0.00136082,0.00136082
6,1003.94,1.52413,2.6777,1.82714,1.60364,0.48077,0.49199,0.47759,0.2485,0.51248,0.48937,0.47389,0.19618,1.62731,2.65087,1.95203,1.90224,0.00134378,0.00134378,0.00134378
7,1171.87,1.48161,2.61673,1.72338,1.57571,0.49798,0.49479,0.51211,0.26479,0.46143,0.45517,0.44618,0.19728,1.67368,2.95823,2.04597,1.99585,0.00132673,0.00132673,0.00132673
8,1337.73,1.42084,2.52121,1.614,1.52558,0.61845,0.5597,0.59872,0.35031,0.61619,0.54917,0.58081,0.27881,1.45906,2.48353,1.61696,1.76008,0.00130969,0.00130969,0.00130969
9,1504.18,1.35133,2.39606,1.5073,1.46734,0.67917,0.63216,0.67998,0.40747,0.66614,0.62067,0.65857,0.31311,1.42284,2.27535,1.42849,1.68956,0.00129264,0.00129264,0.00129264
10,1668.1,1.33526,2.3794,1.43281,1.4549,0.74186,0.67711,0.75854,0.47244,0.73602,0.66939,0.7379,0.37262,1.31226,2.18022,1.22174,1.58681,0.0012756,0.0012756,0.0012756
